DBN,Major N,Oth N,NoCrim N,Prop N,Vio N,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,Latitude,Longitude,SATmath,SATall
02M545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.716778000000005,-73.989337,581.0,474.6666666666667
02M294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.716778000000005,-73.989337,384.0,385.3333333333333
01M448,1.0,0.0,2.0,1.0,0.0,0.35,1.06,1.09,0.73,0.5,40.712399,-73.98449699999999,423.0,390.6666666666667
01M448,0.0,1.0,2.0,1.0,0.0,0.27,1.11,1.38,0.8,0.48,40.712399,-73.98449699999999,423.0,390.6666666666667
01M448,0.0,3.0,5.0,0.0,1.0,0.27,0.9,1.67,0.63,0.44,40.712399,-73.98449699999999,423.0,390.6666666666667
02M550,2.0,2.0,1.0,3.0,1.0,0.35,1.06,1.09,0.73,0.5,40.741657000000004,-73.999307,436.0,385.3333333333333
02M550,0.0,1.0,1.0,0.0,1.0,0.27,1.11,1.38,0.8,0.48,40.741657000000004,-73.999307,436.0,385.3333333333333
02M550,0.0,0.0,1.0,0.0,0.0,0.27,0.9,1.67,0.63,0.44,40.741657000000004,-73.999307,436.0,385.3333333333333
02M413,0.0,0.0,3.0,0.0,0.0,0.33,1.32,1.76,0.83,0.59,40.738952000000005,-73.985479,533.0,521.6666666666666
02M413,1.0,0.0,3.0,1.0,0.0,0.31,1.12,1.82,0.79,0.51,40.738952000000005,-73.985479,533.0,521.6666666666666
02M413,1.0,2.0,1.0,3.0,0.0,0.28,1.11,1.74,0.75,0.53,40.738952000000005,-73.985479,533.0,521.6666666666666
02M460,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.735494,-73.987659,387.0,373.3333333333333
02M374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.735494,-73.987659,391.0,392.0
02M575,0.0,1.0,0.0,1.0,0.0,0.52,1.71,2.49,1.16,0.75,40.732715999999996,-73.984665,517.0,401.6666666666667
02M575,0.0,1.0,0.0,1.0,0.0,0.31,1.12,1.82,0.79,0.51,40.732715999999996,-73.984665,517.0,401.6666666666667
02M575,2.0,3.0,1.0,2.0,3.0,0.28,1.11,1.74,0.75,0.53,40.732715999999996,-73.984665,517.0,401.6666666666667
06M462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.855954,-73.927051,384.0,375.6666666666667
06M463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.855954,-73.927051,380.0,366.0
06M467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.855954,-73.927051,378.0,367.3333333333333
06M468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.855954,-73.927051,422.0,408.0
06M457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.855954,-73.927051,357.0,365.6666666666667
03M404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.785803,-73.974614,403.0,400.0
01M650,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.72252,-73.990728,418.0,415.3333333333333
02M407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.732447,-73.98303100000001,465.0,474.6666666666667
02M420,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.732447,-73.98303100000001,449.0,435.3333333333333
02M475,0.0,2.0,2.0,1.0,0.0,2.13,9.06,14.5,6.06,3.56,40.71759,-74.01374799999999,735.0,698.6666666666666
02M475,0.0,1.0,1.0,1.0,0.0,1.57,7.21,14.07,5.14,2.57,40.71759,-74.01374799999999,735.0,698.6666666666666
02M475,0.0,2.0,4.0,1.0,0.0,1.13,8.47,15.33,3.8,3.07,40.71759,-74.01374799999999,735.0,698.6666666666666
02M449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.765359000000004,-73.960059,416.0,399.6666666666667
02M565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.765359000000004,-73.960059,508.0,515.6666666666666
02M519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.765359000000004,-73.960059,472.0,472.0
02M459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.765359000000004,-73.960059,460.0,409.0
02M630,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.759240000000005,-73.967203,441.0,438.3333333333333
03M307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.774351,-73.984753,390.0,381.3333333333333
03M283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.774351,-73.984753,379.0,397.6666666666667
03M541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.774351,-73.984753,506.0,482.0
03M494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.774351,-73.984753,433.0,425.6666666666667
03M492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.774351,-73.984753,398.0,398.6666666666667
03M299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.774351,-73.984753,384.0,377.3333333333333
04M495,0.0,2.0,2.0,1.0,0.0,0.35,1.06,1.09,0.73,0.5,40.790543,-73.944356,379.0,376.0
04M495,0.0,2.0,2.0,1.0,1.0,0.27,1.11,1.38,0.8,0.48,40.790543,-73.944356,379.0,376.0
04M495,0.0,1.0,2.0,0.0,1.0,0.27,0.9,1.67,0.63,0.44,40.790543,-73.944356,379.0,376.0
05M469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.807383,-73.939433,360.0,366.3333333333333
03M505,2.0,4.0,4.0,5.0,1.0,0.33,1.32,1.76,0.83,0.59,40.797559,-73.966837,369.0,373.6666666666667
03M505,0.0,4.0,8.0,4.0,0.0,0.31,1.12,1.82,0.79,0.51,40.797559,-73.966837,369.0,373.6666666666667
03M505,1.0,3.0,7.0,3.0,0.0,0.28,1.11,1.74,0.75,0.53,40.797559,-73.966837,369.0,373.6666666666667
01M458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.72252,-73.990728,401.0,391.3333333333333
05M692,0.0,0.0,0.0,0.0,0.0,0.35,1.06,1.09,0.73,0.5,40.82074,-73.949097,654.0,615.6666666666666
05M692,0.0,0.0,0.0,0.0,0.0,0.27,1.11,1.38,0.8,0.48,40.82074,-73.949097,654.0,615.6666666666666
05M692,0.0,0.0,0.0,0.0,0.0,0.27,0.9,1.67,0.63,0.44,40.82074,-73.949097,654.0,615.6666666666666
02M520,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.711442,-74.000851,440.0,413.3333333333333
02M300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.765184000000005,-73.992953,449.0,423.0
