puma,Major N,Oth N,NoCrim N,Prop N,Vio N,AvgOfMajor N,AvgOfOth N,AvgOfNoCrim N,AvgOfProp N,AvgOfVio N,SATmath,SATall,Astham_Ratio,Drugs_Ratio
3805,0.4,1.5,3.5,1.0,0.8,0.203,0.7490000000000001,1.137,0.507,0.34199999999999997,491.0,479.0333333333333,0.00487585677293541,0.005447633666431991
3806,0.3125,1.25,2.125,1.25,0.125,0.794375,3.1487499999999997,7.6625,1.8512499999999998,1.480625,463.5625,464.66666666666674,0.005595686234611863,0.05629599484518601
3808,0.2857142857142857,0.5,0.5714285714285714,0.5714285714285714,0.21428571428571427,0.14500000000000002,0.535,0.8121428571428572,0.36214285714285716,0.24428571428571427,457.92857142857144,428.83333333333337,0.008800365843707865,0.07267751111614058
3810,0.3333333333333333,1.6666666666666667,3.125,1.0416666666666667,0.625,0.41458333333333336,1.7700000000000002,2.934583333333333,1.1395833333333334,0.7208333333333333,482.4166666666667,471.34722222222234,0.009317326643970614,0.010481992474466942
3901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.5,428.0,0.014876372217092438,0.2753667795219042
3902,0.6666666666666666,4.416666666666667,8.25,2.6666666666666665,1.0,0.7416666666666667,3.4875000000000003,6.109166666666667,2.1199999999999997,1.4383333333333335,519.3333333333334,503.49999999999994,0.01283892463235294,0.007238051470588236
3903,1.5,9.916666666666666,17.166666666666668,6.0,3.8333333333333335,0.855,3.3550000000000004,6.37,2.1325,1.6325,437.5,429.1666666666667,0.02379849449913144,0.011117544875506659
4002,0.125,0.625,1.3125,0.25,0.375,0.16875,0.6056250000000001,0.85,0.41812499999999997,0.279375,393.25,381.91666666666663,0.045629100586568036,0.06542966958203258
4004,0.34782608695652173,2.0,3.130434782608696,0.782608695652174,1.0434782608695652,0.32826086956521733,1.5434782608695652,1.974347826086957,1.123478260869565,0.4986956521739131,435.69565217391306,424.13043478260863,0.033122503328894805,0.04344207723035952
4005,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.14714285714285716,0.35714285714285715,0.5871428571428571,0.30571428571428566,0.1571428571428571,409.2857142857143,406.61904761904765,0.013639682870853327,0.005346338410181515
4006,1.0,1.8,3.6,1.6,0.8,0.18200000000000002,0.6679999999999999,1.05,0.45,0.308,365.0,368.53333333333336,0.03527866391443048,0.15434415462563333
4009,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.04777777777777778,0.11444444444444445,0.13666666666666666,0.11,0.04555555555555555,375.8888888888889,378.925925925926,0.019628647214854113,0.007338638373121132
4010,0.18181818181818182,0.2727272727272727,0.8181818181818182,0.36363636363636365,0.09090909090909091,0.09363636363636364,0.22727272727272727,0.3736363636363636,0.19454545454545452,0.09999999999999999,382.1818181818182,377.96969696969705,0.0361008902371504,0.009126388641056069
4011,0.7222222222222222,2.111111111111111,3.111111111111111,1.1666666666666667,1.5,0.2755555555555556,1.0777777777777782,1.8055555555555556,0.6822222222222223,0.5216666666666666,402.55555555555554,397.4074074074074,0.032438204010020094,0.030075522200552283
4012,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.3066666666666667,1.1833333333333336,1.7733333333333334,0.79,0.5433333333333333,456.0,450.6666666666667,0.013490371509453744,0.04763569007094677
4014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,481.5,395.83333333333337,0.009732854594313846,0.006864936883228327
4016,1.0,5.571428571428571,9.857142857142858,2.142857142857143,3.142857142857143,0.9199999999999999,4.492857142857143,7.827142857142857,2.7199999999999998,1.7571428571428573,500.0,479.80952380952385,0.02206659619450317,0.007399577167019027
4018,0.9333333333333333,2.533333333333333,4.266666666666667,1.6,1.6666666666666667,0.4053333333333333,1.6706666666666667,3.3106666666666675,1.0686666666666667,0.7899999999999999,409.73333333333335,392.2888888888889,0.021136498320932378,0.08507275959702378
4101,0.2777777777777778,3.7222222222222223,4.5,1.9444444444444444,1.1666666666666667,1.0072222222222225,4.041111111111111,8.73,2.4027777777777777,1.8555555555555554,483.3333333333333,456.6666666666667,0.02909505073514185,0.011389521640091117
4103,0.14285714285714285,0.42857142857142855,0.14285714285714285,0.2857142857142857,0.0,0.12714285714285714,0.4385714285714286,0.5914285714285714,0.3085714285714286,0.20285714285714285,405.7142857142857,387.38095238095235,0.012436257474938432,0.05438377329249335
4105,1.0,1.6666666666666667,4.111111111111111,1.2222222222222223,1.2222222222222223,0.4444444444444444,1.6222222222222225,2.7288888888888887,1.028888888888889,0.7822222222222222,410.44444444444446,401.59259259259267,0.006341023327748422,0.01092924345920866
4106,1.0357142857142858,3.7142857142857144,7.107142857142857,2.7142857142857144,1.5,0.7657142857142857,3.3232142857142857,5.98642857142857,2.0832142857142855,1.400357142857143,474.39285714285717,455.60714285714295,0.020930066433316664,0.025001785841845845
4107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,398.75,380.66666666666663,0.015542857142857143,0.03139047619047619
4108,1.0,6.666666666666667,6.666666666666667,5.333333333333333,1.3333333333333333,1.61,8.246666666666668,14.633333333333333,5.0,3.0666666666666664,497.0,469.0,0.013075369405761667,0.009088976294248964
4111,0.4,2.0,1.6,1.6,0.4,0.272,1.014,1.528,0.6619999999999999,0.46399999999999997,456.2,422.8666666666667,0.02368838101593127,0.01722412211193594
4114,0.125,0.125,0.25,0.25,0.0,0.29875,1.1875,2.04875,0.75875,0.55875,448.875,432.37499999999994,0.018015595590212423,0.0940216904185713
